keys,en,ru
item.harvest_feast.desc,"Several prepared dishes combined into one rich feast. Used for the final stew.",Несколько готовых блюд объединены в сытный пир. Используется для финального рагу.
item.harvest_feast.name,Harvest Feast,Пир урожая
item.infinity_stew.desc,"The culmination of the entire cooking chain. Restores an enormous amount of hunger.",Вершина всей кулинарной цепочки. Восстанавливает огромное количество сытости.
item.infinity_stew.name,Infinity Stew,Рагу бесконечности
item.basic_board.desc,Simple wooden circuit board. Used in Tier 1 circuits.,Простая деревянная плата. Для схем 1-го уровня.
item.basic_board.name,Basic Board,Базовая плата
item.basic_machine_casing.desc,Iron and copper housing. Used to construct Crusher and Extractor.,Корпус из железа и меди. Для дробилки и экстрактора.
item.basic_machine_casing.name,Basic Machine Casing,Базовый корпус механизма
item.battery_casing.desc,Empty rubber-and-iron housing for accumulator cells.,Пустой резино-железный корпус для аккумуляторных ячеек.
item.battery_casing.name,Accumulator Casing,Корпус аккумулятора
item.battery_t1.desc,"Accumulator cell rated for 10,000 EU. Four cells form the 40k EU T1 storage.","Аккумуляторная ячейка ёмкостью 10 000 EU. Четыре ячейки образуют хранилище T1 на 40k EU."
item.battery_t1.name,Accumulator Cell T1 (10k EU),Аккумуляторная ячейка T1 (10k EU)
item.battery_t2.desc,"Accumulator cell rated for 50,000 EU. Four cells upgrade the storage to 200k EU.","Аккумуляторная ячейка ёмкостью 50 000 EU. Четыре ячейки улучшают хранилище до 200k EU."
item.battery_t2.name,Accumulator Cell T2 (50k EU),Аккумуляторная ячейка T2 (50k EU)
item.battery_t3.desc,"Accumulator cell rated for 250,000 EU. Four cells upgrade the storage to 1M EU.","Аккумуляторная ячейка ёмкостью 250 000 EU. Четыре ячейки улучшают хранилище до 1M EU."
item.battery_t3.name,Accumulator Cell T3 (250k EU),Аккумуляторная ячейка T3 (250k EU)
item.bolt.desc,Steel fastener. Holds machine casings and frames together.,Стальной крепёж. Скрепляет корпуса машин и каркасы.
item.bolt.name,Bolt,Болт
item.bronze_bucket.desc,A sturdy bronze liquid container.,Прочная бронзовая ёмкость для жидкостей.
item.bronze_bucket.name,Bronze Bucket,Бронзовое ведро
item.bronze_drill.desc,"Place on a vein core to auto-mine copper, tin, coal and iron. Ore exits from the arrow side onto an adjacent conveyor or into a chest.","Ставится на сердцевину жилы для добычи меди, олова, угля и железа. Руда выходит со стороны стрелки на соседний конвейер или в сундук."
item.bronze_drill.name,Bronze Drill,Бронзовый бур
item.bronze_dust.desc,Fine bronze powder. Smelt it into a bronze ingot.,Мелкий бронзовый порошок. Переплавь в бронзовый слиток.
item.bronze_dust.name,Bronze Dust,Бронзовая пыль
item.bronze_ingot.desc,An alloy of copper and tin used for durable early tools.,Сплав меди и олова для прочных ранних инструментов.
item.bronze_ingot.name,Bronze Ingot,Бронзовый слиток
item.bronze_pickaxe.desc,"A bronze pickaxe. Mines copper, coal, tin, and iron.","Бронзовая кирка. Добывает медь, уголь, олово и железо."
item.bronze_pickaxe.name,Bronze Pickaxe,Бронзовая кирка
item.bronze_rod.desc,Rolled bronze rod. Blank for springs and parts.,Прокатанный бронзовый стержень. Заготовка для пружин и деталей.
item.bronze_rod.name,Bronze Rod,Бронзовый стержень
item.bronze_spring.desc,Spring wound from a bronze rod. Wear-resistant.,Свитая из бронзового стержня пружина. Устойчива к износу.
item.bronze_spring.name,Bronze Spring,Бронзовая пружина
item.cactus.desc,Cactus flesh. A source of moisture and fiber in the desert.,Мякоть кактуса. Источник влаги и волокна в пустыне.
item.cactus.name,Cactus,Кактус
item.capacitor_t1.desc,Basic charge storage. Component of energy storages.,Базовый накопитель заряда. Компонент энергохранилищ.
item.capacitor_t1.name,Capacitor T1,Конденсатор T1
item.capacitor_t2.desc,Improved charge storage with silver plates.,Улучшенный накопитель заряда с серебряными обкладками.
item.capacitor_t2.name,Capacitor T2,Конденсатор T2
item.capacitor_t3.desc,High-density charge storage with gold contacts and solid matter.,Высокоплотный накопитель заряда с золотыми контактами и твёрдой материей.
item.capacitor_t3.name,Capacitor T3,Конденсатор T3
item.carbon_cloth.desc,Fabric woven from four carbon-fiber threads. Compresses into carbon plastic.,"Полотно, сотканное из четырёх нитей углеволокна. Спрессовывается в углепластик."
item.carbon_cloth.name,Carbon Cloth,Углеткань
item.carbon_fiber.desc,Thin thread of compressed coal dust. Raw material for carbon cloth.,Тонкая нить из спрессованной угольной пыли. Сырьё для углеткани.
item.carbon_fiber.name,Carbon Fiber,Углеволокно
item.carbon_plastic.desc,"Carbon cloth compressed in a compressor. Ultra-light, ultra-strong material.",Спрессованная в компрессоре углеткань. Сверхлёгкий и сверхпрочный материал.
item.carbon_plastic.name,Carbon Plastic,Углепластик
item.circuit_t1.desc,An iron-backed circuit using resonite shards for signal logic.,Схема на железной основе с резонитовыми осколками для обработки сигналов.
item.circuit_t1.name,Basic Circuit,Базовая схема
item.circuit_t2.desc,Advanced circuit built around purified resonite for terminals and automation.,Продвинутая схема на очищенном резоните для терминалов и автоматизации.
item.circuit_t2.name,Advanced Circuit,Продвинутая схема
item.circuit_t3.desc,Industrial circuit synchronized by a resonite matrix for complex automation.,Промышленная схема с резонитовой матрицей для сложной автоматизации.
item.circuit_t3.name,Industrial Circuit,Промышленная схема
item.cloth.desc,Cloth of plant fiber. Used in suits and filters.,Полотно из растительного волокна. Используется в костюмах и фильтрах.
item.cloth.name,Cloth,Ткань
item.coal.desc,A lump of coal. Used as fuel.,Кусок угля. Используется как топливо.
item.coal.name,Coal,Уголь
item.coal_dust.desc,Fine coal powder. Compress 8 units into Compressed Coal.,Мелкий угольный порошок. Сожми 8 единиц в прессованный уголь.
item.coal_dust.name,Coal Dust,Угольная пыль
item.coal_generator.desc,Burns coal to generate 30 EU/s. Place adjacent to cables to power machines.,"Сжигает уголь, вырабатывая 30 EU/с. Ставь рядом с кабелями для питания машин."
item.coal_generator.name,Coal Generator,Угольный генератор
item.cobblestone_generator.desc,"While powered, endlessly produces stone. Connect to the power grid.","Пока запитан, бесконечно производит камень. Подключи к электросети."
item.cobblestone_generator.name,Cobblestone Generator,Генератор булыжника
item.codex.desc,Trailblazer's tome. Use (right-click) to open it. Pages dropped by bosses unlock the access-gear recipes.,"Том первопроходца. Используй (ПКМ), чтобы открыть. Страницы с боссов открывают рецепты снаряжения для входа в биомы."
item.codex.name,Codex,Книга Первопроходца
item.coil.desc,"Copper wire wound on a core. Component of motors, electromagnets and transformers.","Медный провод, намотанный на сердечник. Компонент моторов, электромагнитов и трансформаторов."
item.coil.name,Coil,Катушка
item.compressed_coal.desc,Eight coal dust units compressed into a dense block.,"Восемь единиц угольной пыли, спрессованные в плотный блок."
item.compressed_coal.name,Compressed Coal,Прессованный уголь
item.compressor.desc,Compresses materials into denser forms. Requires 25 EU/s.,Сжимает материалы в более плотные формы. Требует 25 EU/с.
item.compressor.name,Compressor,Компрессор
item.computer.desc,"A unit built from a motherboard, processor and memory. Controls the ME network and high-tech machines.","Собранный из материнской платы, процессора и памяти блок. Управляет ME-сетью и высокотехнологичными машинами."
item.computer.name,Computer,Компьютер
item.concrete.desc,Cured mix of gravel and binder. Sturdy building material.,Застывшая смесь гравия и связующего. Прочный строительный материал.
item.concrete.name,Concrete,Бетон
item.conveyor.desc,Slow mechanical conveyor that needs no electricity. Faces the same direction as the player when placed.,Медленный механический конвейер без потребления электричества. При установке смотрит туда же, куда игрок.
item.conveyor.name,Conveyor T1,Конвейер T1
item.conveyor_splitter.desc,"Splits one input belt into two side outputs, alternating items evenly between them. Mechanical: needs no electricity. Faces the same direction as the player when placed.","Разделяет одну входную ленту на два боковых выхода, равномерно чередуя предметы. Механический: электричество не требуется. При установке смотрит туда же, куда игрок."
item.conveyor_splitter.name,Conveyor Splitter,Конвейерный разветвитель
item.conveyor_t2.desc,Faster conveyor. Draws 2 EU/s from the grid. Faces the same direction as the player when placed.,Более быстрый конвейер. Потребляет 2 EU/с из сети. При установке смотрит туда же, куда игрок.
item.conveyor_t2.name,Conveyor T2,Конвейер T2
item.conveyor_t3.desc,High-speed conveyor. Draws 3 EU/s from the grid. Faces the same direction as the player when placed.,Скоростной конвейер. Потребляет 3 EU/с из сети. При установке смотрит туда же, куда игрок.
item.conveyor_t3.name,Conveyor T3,Конвейер T3
item.conveyor_t4.desc,Very fast conveyor. Draws 4 EU/s from the grid. Faces the same direction as the player when placed.,Очень быстрый конвейер. Потребляет 4 EU/с из сети. При установке смотрит туда же, куда игрок.
item.conveyor_t4.name,Conveyor T4,Конвейер T4
item.conveyor_t5.desc,Fastest conveyor. Draws 5 EU/s from the grid. Faces the same direction as the player when placed.,Самый быстрый конвейер. Потребляет 5 EU/с из сети. При установке смотрит туда же, куда игрок.
item.conveyor_t5.name,Conveyor T5,Конвейер T5
item.copper_block.desc,A solid block of copper. Can be placed.,Цельный блок меди. Можно ставить.
item.copper_block.name,Copper Block,Медный блок
item.copper_dust.desc,Fine copper powder. Smelt it into a copper ingot.,Мелкий медный порошок. Переплавь в медный слиток.
item.copper_dust.name,Copper Dust,Медная пыль
item.copper_gear.desc,A copper mechanical component for electric machines.,Медный механический компонент для электрических машин.
item.copper_gear.name,Copper Gear,Медная шестерёнка
item.copper_ingot.desc,Smelted copper. Used in crafting.,Переплавленная медь. Используется в крафте.
item.copper_ingot.name,Copper Ingot,Медный слиток
item.copper_ore.desc,Raw copper ore. Smelt it into ingots.,Сырая медная руда. Переплавь в слитки.
item.copper_ore.name,Copper Ore,Медная руда
item.copper_plate.desc,Thin copper sheet. Used in circuits and battery components.,Тонкий медный лист. Для схем и деталей батарей.
item.copper_plate.name,Copper Plate,Медная пластина
item.copper_rod.desc,Rod rolled from a copper sheet. Blank for wires and windings.,Прокатанный из медного листа стержень. Заготовка для проводов и обмоток.
item.copper_rod.name,Copper Rod,Медный стержень
item.copper_wire.desc,Bare copper power cable. Transfers up to 64 EU/s and shocks on contact while live.,Голый медный силовой кабель. Передаёт до 64 EU/с и бьёт током при касании под напряжением.
item.copper_wire.name,Copper Cable,Медный кабель
item.crude_oil_canister.desc,Canister of unrefined oil. Feedstock for the distillation column.,Канистра с неочищенной нефтью. Сырьё для переработки в дистилляционной колонне.
item.crude_oil_canister.name,Crude Oil Canister,Канистра с сырой нефтью
item.crusher.desc,Grinds ore directly into metal dust with doubled yield. Requires 20 EU/s.,Перемалывает руду сразу в металлическую пыль с удвоенным выходом. Требует 20 EU/с.
item.crusher.name,Crusher,Дробилка
item.cryo_mantle.desc,Insulated mantle against deadly cold. Equip it to safely enter the Icy Abyss.,"Утеплённая мантия против смертельного холода. Надень, чтобы безопасно входить в Ледяную Бездну."
item.cryo_mantle.name,Cryo Mantle,Крио Мантия
item.dense_iron_plate.desc,Eight iron plates compressed into one. Heavy structural component.,"Восемь железных пластин, спрессованных в одну. Тяжёлый конструкционный компонент."
item.dense_iron_plate.name,Dense Iron Plate,Плотная железная пластина
item.distillation_column.desc,"Electrically separates crude oil into refinery gas, gasoline, kerosene, diesel, heavy oil, and bitumen.","Электрически разделяет сырую нефть на нефтезаводской газ, бензин, керосин, дизель, мазут и битум."
item.distillation_column.name,Distillation Column,Дистилляционная колонна
item.electric_furnace.desc,Smelts ores 3x faster than a regular furnace. Requires 30 EU/s.,Плавит руду в 3 раза быстрее обычной печи. Требует 30 EU/с.
item.electric_furnace.name,Electric Furnace,Электропечь
item.electronic_board.desc,Printed board of plastic and copper wiring. Heart of capacitors and advanced electronics.,Печатная плата из пластика и медной проводки. Сердце конденсаторов и продвинутой электроники.
item.electronic_board.name,Electronic Board,Электронная плата
item.electrum_ingot.desc,Gold-silver alloy with exceptional conductivity. Used in advanced circuits and high-tier batteries.,Золото-серебряный сплав с исключительной проводимостью. Для продвинутых схем и батарей высокого уровня.
item.electrum_ingot.name,Electrum Ingot,Электрумовый слиток
item.electrum_wire.desc,High-capacity electrum wire. Supports industrial machines and late-game automation.,Высокоёмкий электрумовый провод. Поддерживает промышленные машины и автоматизацию конца игры.
item.electrum_wire.name,Electrum Wire,Электрумовый провод
item.elite_solar_panel.desc,Generates 360 EU/s in daylight. Place next to power cables.,Вырабатывает 360 EU/с при свете дня. Ставится у проводов электросети.
item.elite_solar_panel.name,Elite Solar Panel,Элитная солнечная панель
item.empty_canister.desc,Sealed metal container. Filled with fluid in machines.,Герметичный металлический контейнер. Наполняется жидкостью в машинах.
item.empty_canister.name,Empty Canister,Пустая канистра
item.energy_storage_t1.desc,"Grid buffer of 40,000 EU (up to 128 EU/s). Stores surplus and smooths peaks.","Буфер сети на 40 000 EU (до 128 EU/с). Запасает излишки и сглаживает пики."
item.energy_storage_t1.name,Energy Storage T1,Энергохранилище T1
item.energy_storage_t2.desc,"Grid buffer of 200,000 EU (up to 512 EU/s).","Буфер сети на 200 000 EU (до 512 EU/с)."
item.energy_storage_t2.name,Energy Storage T2,Энергохранилище T2
item.energy_storage_t3.desc,"Grid buffer of 1,000,000 EU (up to 2048 EU/s). Pinnacle of energy storage.","Буфер сети на 1 000 000 EU (до 2048 EU/с). Вершина накопления энергии."
item.energy_storage_t3.name,Energy Storage T3,Энергохранилище T3
item.ent_totem.desc,Use (right-click) to re-summon the Ent at its forest grove. Consumed on use.,"Используй (ПКМ), чтобы вновь призвать Энта в его лесной роще. Расходуется при использовании."
item.ent_totem.name,Ent Totem,Тотем Энта
item.extractor.desc,Extracts fluids and raw materials. Processes resin and uranium ore. Requires 25 EU/s.,Извлекает жидкости и сырьё. Обрабатывает смолу и урановую руду. Требует 25 EU/с.
item.extractor.name,Extractor,Экстрактор
item.farming_station.desc,"While powered, automatically grows crops (apples, watermelons, reed, cacti).","Пока запитана, автоматически выращивает урожай (яблоки, арбузы, тростник, кактусы)."
item.farming_station.name,Farming Station,Фермерская станция
item.flower.desc,A wildflower. A bright spot in the grass — useful for dyes.,Полевой цветок. Яркое пятно среди травы — пригодится для красителей.
item.flower.name,Flower,Цветок
item.fluid_pipe.desc,"Bronze-sealed pipe for water, steam, and other fluids.","Герметичная бронзовая труба для воды, пара и других жидкостей."
item.fluid_pipe.name,Fluid Pipe,Труба для жидкости
item.fluid_pipe_t2.desc,"Steel high-pressure pipe carrying up to 30 liters per second.","Стальная труба высокого давления с пропускной способностью до 30 литров в секунду."
item.fluid_pipe_t2.name,High-Pressure Fluid Pipe,Труба высокого давления
item.fluid_valve.desc,"One-way valve that can allow only a selected fluid.","Односторонний клапан, пропускающий только выбранную жидкость."
item.fluid_valve.name,Filtered Fluid Valve,Фильтрующий клапан
item.fluid_tank_t1.desc,Stores one liquid. Capacity: 200 L.,Хранит одну жидкость. Ёмкость: 200 л.
item.fluid_tank_t1.name,Fluid Tank T1,Бак для жидкости T1
item.fluid_tank_t2.desc,Stores one liquid. Capacity: 350 L.,Хранит одну жидкость. Ёмкость: 350 л.
item.fluid_tank_t2.name,Fluid Tank T2,Бак для жидкости T2
item.fluid_tank_t3.desc,Stores one liquid. Capacity: 500 L.,Хранит одну жидкость. Ёмкость: 500 л.
item.fluid_tank_t3.name,Fluid Tank T3,Бак для жидкости T3
item.fluid_tank_t4.desc,Stores one liquid. Capacity: 750 L.,Хранит одну жидкость. Ёмкость: 750 л.
item.fluid_tank_t4.name,Fluid Tank T4,Бак для жидкости T4
item.fluid_tank_t5.desc,The largest practical tank. Capacity: 1000 L.,Самый большой практичный бак. Ёмкость: 1000 л.
item.fluid_tank_t5.name,Fluid Tank T5,Бак для жидкости T5
item.furnace.desc,A smelting furnace. Place and press F to open.,"Плавильная печь. Поставь и нажми F, чтобы открыть."
item.furnace.name,Furnace,Печь
item.gas_filter.desc,Charcoal cartridge that traps toxins and spores. Key part of the gas mask.,"Угольный картридж, задерживающий токсины и споры. Ключевая деталь противогаза."
item.gas_filter.name,Gas Filter,Газовый фильтр
item.gas_mask.desc,Filters the toxins of the Rotting Marsh and spores of the Primeval Thicket. Equip in the armor slot for safe mining in those sectors.,Фильтрует токсины Гниющих Топей и споры Первобытных Дебрей. Наденьте в слот брони для безопасной добычи в этих секторах.
item.gas_mask.name,Gas Mask,Противогаз
item.gear.desc,A basic mechanical component for machines.,Базовый механический компонент для машин.
item.gear.name,Iron Gear,Железная шестерёнка
item.gold_dust.desc,Fine gold powder. Smelt it into a gold ingot.,Мелкий золотой порошок. Переплавь в золотой слиток.
item.gold_dust.name,Gold Dust,Золотая пыль
item.gold_gear.desc,A gold mechanical component for precise machinery.,Золотой механический компонент для точных механизмов.
item.gold_gear.name,Gold Gear,Золотая шестерёнка
item.gold_ingot.desc,Pure gold. Used in advanced circuits.,Чистое золото. Используется в продвинутых схемах.
item.gold_ingot.name,Gold Ingot,Золотой слиток
item.gold_ore.desc,Rare raw gold ore extracted from small deposits.,"Редкая сырая золотая руда, добытая из небольших залежей."
item.gold_ore.name,Gold Ore,Золотая руда
item.gold_plate.desc,Thin gold sheet. Used in advanced electronics.,Тонкий золотой лист. Для продвинутой электроники.
item.gold_plate.name,Gold Plate,Золотая пластина
item.gold_rod.desc,Soft gold rod. Conducts current excellently — used in precise electronics.,Мягкий золотой стержень. Отлично проводит ток — используется в точной электронике.
item.gold_rod.name,Gold Rod,Золотой стержень
item.gold_spring.desc,Spring made from a gold rod. Used in precise electronic contacts.,Пружина из золотого стержня. Применяется в точных контактах электроники.
item.gold_spring.name,Gold Spring,Золотая пружина
item.gold_wire.desc,Bare gold power wire. Transfers up to 256 EU/s and shocks on contact while live.,Голый золотой силовой провод. Передаёт до 256 EU/с и бьёт током при касании под напряжением.
item.gold_wire.name,Gold Wire,Золотой провод
item.tin_wire.desc,Bare starter power wire. Transfers up to 32 EU/s and shocks on contact while live.,Голый начальный силовой провод. Передаёт до 32 EU/с и бьёт током при касании под напряжением.
item.tin_wire.name,Tin Wire,Оловянный провод
item.fiberglass_wire.desc,Inherently safe high-capacity power wire. Transfers up to 1024 EU/s.,Безопасный стекловолоконный силовой провод. Передаёт до 1024 EU/с.
item.fiberglass_wire.name,Fiberglass Wire,Стекловолоконный провод
item.gravel.desc,Crushed stone fragments. Building material.,Раздробленные каменные осколки. Строительный материал.
item.gravel.name,Gravel,Гравий
item.gunpowder.desc,"A mix of coal, sulfur and saltpeter. Explosive raw material.","Смесь угля, серы и селитры. Взрывчатое сырьё."
item.gunpowder.name,Gunpowder,Порох
item.heat_suit.desc,Protects from the heat of the Sun Canyon. Equip in the armor slot to safely mine ore in scorching sectors.,"Защищает от жара Солнечного Каньона. Наденьте в слот брони, чтобы безопасно добывать руду в раскалённых секторах."
item.heat_suit.name,Heat Suit,Жаростойкий костюм
item.ice_shard.desc,A crystal of frozen ice from the snowy wastes.,Кристалл намёрзшего льда из снежных пустошей.
item.ice_shard.name,Ice Shard,Ледяной осколок
item.industrial_board.desc,Rubber-reinforced high-performance circuit board. Used in Tier 3 circuits.,"Высокопроизводительная плата, армированная резиной. Для схем 3-го уровня."
item.industrial_board.name,Industrial Board,Промышленная плата
item.industrial_machine_casing.desc,"Titanium, electrum and industrial circuit housing. Used for late-game machines.","Корпус из титана, электрума и промышленной схемы. Для машин конца игры."
item.industrial_machine_casing.name,Industrial Machine Casing,Промышленный корпус механизма
item.insulated_copper_wire.desc,Safe fiber-insulated copper cable. Transfers up to 64 EU/s.,Безопасный медный кабель в волоконной изоляции. Передаёт до 64 EU/с.
item.insulated_copper_wire.name,Insulated Copper Cable,Изолированный медный кабель
item.insulated_tin_wire.desc,Safe fiber-insulated tin wire. Transfers up to 32 EU/s.,Безопасный оловянный провод в волоконной изоляции. Передаёт до 32 EU/с.
item.insulated_tin_wire.name,Insulated Tin Wire,Изолированный оловянный провод
item.insulated_gold_wire.desc,Safe rubber-insulated gold wire. Transfers up to 256 EU/s.,Безопасный золотой провод в резиновой изоляции. Передаёт до 256 EU/с.
item.insulated_gold_wire.name,Insulated Gold Wire,Изолированный золотой провод
item.insulated_suit.desc,Protects from the cold of the Frozen Abyss. Equip in the armor slot to safely mine ore in freezing sectors.,"Защищает от холода Ледяной Бездны. Наденьте в слот брони, чтобы безопасно добывать руду в морозных секторах."
item.insulated_suit.name,Insulated Suit,Утеплённый костюм
item.iron_block.desc,A solid block of iron. Can be placed.,Цельный блок железа. Можно ставить.
item.iron_block.name,Iron Block,Железный блок
item.iron_bolt.desc,Iron fastener. Holds machine casings and frames together.,Железный крепёж. Скрепляет корпуса машин и каркасы.
item.iron_bolt.name,Iron Bolt,Железный болт
item.iron_dust.desc,Fine iron powder. Smelt it into an iron ingot.,Мелкий железный порошок. Переплавь в железный слиток.
item.iron_dust.name,Iron Dust,Железная пыль
item.iron_ingot.desc,Smelted iron. Used in crafting.,Переплавленное железо. Используется в крафте.
item.iron_ingot.name,Iron Ingot,Железный слиток
item.iron_ore.desc,Raw iron ore extracted from the ground. Smelt it into ingots.,Сырая железная руда из земли. Переплавь в слитки.
item.iron_ore.name,Iron Ore,Железная руда
item.iron_plate.desc,Flat iron sheet. Used in machine casings and compressor recipes.,Плоский железный лист. Для корпусов машин и рецептов компрессора.
item.iron_plate.name,Iron Plate,Железная пластина
item.iron_rod.desc,Rolled iron rod. Blank for springs and shafts.,Прокатанный железный стержень. Заготовка для пружин и валов.
item.iron_rod.name,Iron Rod,Железный стержень
item.iron_spring.desc,Spring wound from an iron rod. Part of simple mechanisms.,Свитая из железного стержня пружина. Деталь простых механизмов.
item.iron_spring.name,Iron Spring,Железная пружина
item.iron_wire.desc,Simple iron wire. A basic conductor for early circuits.,Простой железный провод. Базовый проводник для ранних схем.
item.iron_wire.name,Iron Wire,Железный провод
item.latex.desc,Processed tree resin. Extract again to obtain Rubber.,"Обработанная древесная смола. Извлеки снова, чтобы получить резину."
item.latex.name,Latex,Латекс
item.lava_canister.desc,Canister filled with molten lava. A source of heat and energy.,"Канистра, заполненная раскалённой лавой. Источник тепла и энергии."
item.lava_canister.name,Lava Canister,Канистра с лавой
item.lead_dust.desc,Heavy lead powder. Smelt it into lead components.,Тяжёлый свинцовый порошок. Переплавь в свинцовые компоненты.
item.lead_dust.name,Lead Dust,Свинцовая пыль
item.lead_ore.desc,Raw lead ore. Smelt it for heavy metal components.,Сырая свинцовая руда. Переплавь для тяжёлых металлических компонентов.
item.lead_ore.name,Lead Ore,Свинцовая руда
item.machine_frame.desc,Steel frame on which advanced machines are assembled.,"Стальной каркас, на который собираются продвинутые машины."
item.machine_frame.name,Machine Frame,Рамка механизма
item.me_cable.desc,Connects ME network devices. Channels are unlimited — only connectivity matters.,Соединяет устройства ME-сети. Каналы бесконечны — важна только связность.
item.me_cable.name,ME Cable,ME-кабель
item.me_controller.desc,The core of the ME network. Consumes power; without it the whole network shuts down.,Ядро ME-сети. Потребляет энергию; без питания вся сеть отключается.
item.me_controller.name,ME Controller,ME-контроллер
item.me_crafting_terminal.desc,Crafting terminal: crafts recipes straight from ME network resources.,Терминал создания: крафтит рецепты прямо из ресурсов ME-сети.
item.me_crafting_terminal.name,ME Crafting Terminal,ME-терминал крафта
item.me_pattern_terminal.desc,"Configures stock targets and distributes autocrafting jobs among Molecular Assemblers in the connected ME network.","Настраивает целевой запас и распределяет задания автокрафта между молекулярными сборщиками подключённой ME-сети."
item.me_pattern_terminal.name,ME Pattern Terminal,ME-терминал шаблонов
item.me_drive.desc,Storage: holds up to 6 storage cells. Their capacity adds to the network.,Накопитель: вмещает до 6 ячеек хранения. Их объём складывается в сеть.
item.me_drive.name,ME Drive,ME-накопитель
item.me_export_bus.desc,Pushes a configured item from the ME network into an adjacent inventory/machine. Set the filter in the menu.,Выдаёт настроенный предмет из ME-сети в соседний инвентарь/машину. Настрой фильтр в меню.
