keys,en,ru
Скрафтить верстак,Craft a workbench,Скрафтить верстак
Базовые рецепты крафта,Basic crafting recipes,Базовые рецепты крафта
Каменная кирка,Stone Pickaxe,Каменная кирка
"Сделай кирку, чтобы добывать руду.",Make a pickaxe to mine ore.,"Сделай кирку, чтобы добывать руду."
Скрафтить кирку,Craft a pickaxe,Скрафтить кирку
Добыча руды,Ore mining,Добыча руды
II. Руда и плавка,II. Ore and Smelting,II. Руда и плавка
Первая руда,First Ore,Первая руда
Добудь свою первую медную руду.,Mine your first copper ore.,Добудь свою первую медную руду.
Добыть медную руду,Mine copper ore,Добыть медную руду
Рецепт: Медный слиток,Recipe: Copper Ingot,Рецепт: Медный слиток
Топливо для прогресса,Fuel for Progress,Топливо для прогресса
Накопи уголь для плавки.,Stock up on coal for smelting.,Накопи уголь для плавки.
Добыть уголь,Mine coal,Добыть уголь
Рецепт: Каменная печь,Recipe: Stone Furnace,Рецепт: Каменная печь
Первая печь,First Furnace,Первая печь
Построй печь для плавки руды.,Build a furnace to smelt ore.,Построй печь для плавки руды.
Скрафтить каменную печь,Craft a stone furnace,Скрафтить каменную печь
Категория: Плавка,Category: Smelting,Категория: Плавка
Рецепты печи,Furnace recipes,Рецепты печи
Медный век,Copper Age,Медный век
Выплавь медь из руды.,Smelt copper from ore.,Выплавь медь из руды.
Выплавить медные слитки,Smelt copper ingots,Выплавить медные слитки
Рецепты медных инструментов,Copper tool recipes,Рецепты медных инструментов
III. Бронзовый век,III. Bronze Age,III. Бронзовый век
Открытие олова,Tin Discovery,Открытие олова
Найди и добудь оловянную руду.,Find and mine tin ore.,Найди и добудь оловянную руду.
Добыть оловянную руду,Mine tin ore,Добыть оловянную руду
Рецепт: Бронзовый слиток,Recipe: Bronze Ingot,Рецепт: Бронзовый слиток
Начало бронзового века,The Bronze Age Begins,Начало бронзового века
Соедини медь и олово в бронзовый сплав.,Combine copper and tin into a bronze alloy.,Соедини медь и олово в бронзовый сплав.
Создать бронзовые слитки,Make bronze ingots,Создать бронзовые слитки
Рецепты бронзовых инструментов,Bronze tool recipes,Рецепты бронзовых инструментов
Бронзовая кирка,Bronze Pickaxe,Бронзовая кирка
Улучши инструмент до бронзы.,Upgrade your tool to bronze.,Улучши инструмент до бронзы.
Скрафтить бронзовую кирку,Craft a bronze pickaxe,Скрафтить бронзовую кирку
Добыча железа,Iron mining,Добыча железа
IV. Железный век,IV. Iron Age,IV. Железный век
Железо под землёй,Iron Beneath,Железо под землёй
Добудь железную руду из глубин.,Mine iron ore from the depths.,Добудь железную руду из глубин.
Добыть железную руду,Mine iron ore,Добыть железную руду
Рецепт: Железный слиток,Recipe: Iron Ingot,Рецепт: Железный слиток
Сила железа,The Power of Iron,Сила железа
Выплавь железо.,Smelt iron.,Выплавь железо.
Выплавить железные слитки,Smelt iron ingots,Выплавить железные слитки
Рецепты железных инструментов,Iron tool recipes,Рецепты железных инструментов
Стальная кирка,Steel Pickaxe,Стальная кирка
Создай прочную стальную кирку.,Craft a sturdy steel pickaxe.,Создай прочную стальную кирку.
Скрафтить стальную кирку,Craft a steel pickaxe,Скрафтить стальную кирку
Следующий технологический тир,Next technology tier,Следующий технологический тир
V. Склад и механизмы,V. Storage and Mechanisms,V. Склад и механизмы
Первое хранилище,First Storage,Первое хранилище
Собери сундук для хранения.,Build a chest for storage.,Собери сундук для хранения.
Скрафтить сундук Tier 1,Craft a Tier 1 chest,Скрафтить сундук Tier 1
Рецепты улучшения сундуков,Chest upgrade recipes,Рецепты улучшения сундуков
Организованный склад,Organized Warehouse,Организованный склад
Заполни сундуки ресурсами.,Fill chests with resources.,Заполни сундуки ресурсами.
Хранить предметы в сундуках,Store items in chests,Хранить предметы в сундуках
Рецепт: Сундук Tier 2,Recipe: Tier 2 Chest,Рецепт: Сундук Tier 2
Обработка металла,Metal Processing,Обработка металла
Прокатай металл в пластины.,Roll metal into plates.,Прокатай металл в пластины.
Скрафтить медные пластины,Craft copper plates,Скрафтить медные пластины
Скрафтить железные пластины,Craft iron plates,Скрафтить железные пластины
Рецепт: Шестерёнка,Recipe: Gear,Рецепт: Шестерёнка
Механические детали,Mechanical Parts,Механические детали
Изготовь шестерёнки для механизмов.,Make gears for mechanisms.,Изготовь шестерёнки для механизмов.
Скрафтить шестерёнки,Craft gears,Скрафтить шестерёнки
Категория: Промышленные компоненты,Category: Industrial Components,Категория: Промышленные компоненты
Открывает Главу 2,Unlocks Chapter 2,Открывает Главу 2
I. Производство корпусов,I. Casing Production,I. Производство корпусов
Медный рудокоп,Copper Miner,Медный рудокоп
Накопи меди для производства.,Stock up on copper for production.,Накопи меди для производства.
Расширенная добыча,Expanded mining,Расширенная добыча
Медные пластины,Copper Plates,Медные пластины
Наладь выпуск пластин.,Set up plate production.,Наладь выпуск пластин.
Рецепт: Базовый корпус машины,Recipe: Basic Machine Casing,Рецепт: Базовый корпус машины
Корпус машины,Machine Casing,Корпус машины
Собери первый корпус механизма.,Assemble your first machine casing.,Собери первый корпус механизма.
Скрафтить базовый корпус,Craft a basic casing,Скрафтить базовый корпус
Открывает Главу 3,Unlocks Chapter 3,Открывает Главу 3
I. Сталь и корпуса,I. Steel and Casings,I. Сталь и корпуса
Железная хватка,Iron Grip,Железная хватка
Освой железо и сталь.,Master iron and steel.,Освой железо и сталь.
Выплавить сталь,Smelt steel,Выплавить сталь
Рецепты стали,Steel recipes,Рецепты стали
Продвинутый корпус,Advanced Casing,Продвинутый корпус
Собери усиленный корпус для электромашин.,Assemble a reinforced casing for electric machines.,Собери усиленный корпус для электромашин.
Скрафтить продвинутый корпус,Craft an advanced casing,Скрафтить продвинутый корпус
Открывает Главу 4,Unlocks Chapter 4,Открывает Главу 4
I. Первый ток,I. First Current,I. Первый ток
Первый ток,First Current,Первый ток
Построй генератор и проведи кабель.,Build a generator and run a cable.,Построй генератор и проведи кабель.
Скрафтить угольный генератор,Craft a coal generator,Скрафтить угольный генератор
Проложить медный кабель,Lay copper cable,Проложить медный кабель
Электросеть,Power grid,Электросеть
Первая схема,First Circuit,Первая схема
Спаяй базовую электронную схему.,Solder a basic electronic circuit.,Спаяй базовую электронную схему.
Скрафтить схему T1,Craft a T1 circuit,Скрафтить схему T1
Рецепты электромашин,Electric machine recipes,Рецепты электромашин
II. Жидкости,II. Fluids,II. Жидкости
Водоснабжение,Water Supply,Водоснабжение
Собери первую систему перекачки и хранения воды.,Build your first water pumping and storage system.,Собери первую систему перекачки и хранения воды.
Скрафтить водяную помпу,Craft a water pump,Скрафтить водяную помпу
Скрафтить резервуар T1,Craft a T1 tank,Скрафтить резервуар T1
Скрафтить жидкостные трубы,Craft fluid pipes,Скрафтить жидкостные трубы
Перекачка воды,Water pumping,Перекачка воды
Резервуары до 1000 л,Tanks up to 1000 L,Резервуары до 1000 л
Чёрное золото,Black Gold,Чёрное золото
Поставь начало нефтяной промышленности.,Kick off the oil industry.,Поставь начало нефтяной промышленности.
Скрафтить нефтекачку,Craft an oil pump,Скрафтить нефтекачку
Добыча сырой нефти,Crude oil extraction,Добыча сырой нефти
III. Электроплавка,III. Electric Smelting,III. Электроплавка
Электроплавка,Electric Smelting,Электроплавка
Запусти электропечь.,Fire up the electric furnace.,Запусти электропечь.
Скрафтить электропечь,Craft an electric furnace,Скрафтить электропечь
Открыть электропечь,Open the electric furnace,Открыть электропечь
Открывает Главу 5,Unlocks Chapter 5,Открывает Главу 5
I. Солнце и переработка,I. Sun and Processing,I. Солнце и переработка
Солнечный рассвет,Solar Dawn,Солнечный рассвет
Перейди на энергию солнца.,Switch to solar power.,Перейди на энергию солнца.
Скрафтить солнечную панель,Craft a solar panel,Скрафтить солнечную панель
Открыть солнечную панель,Open the solar panel,Открыть солнечную панель
Солнечная энергетика,Solar power,Солнечная энергетика
Тяжёлая переработка,Heavy Processing,Тяжёлая переработка
Запусти электрическую дробилку.,Fire up the electric crusher.,Запусти электрическую дробилку.
Скрафтить дробилку,Craft a crusher,Скрафтить дробилку
Открыть дробилку,Open the crusher,Открыть дробилку
Удвоение руды,Ore doubling,Удвоение руды
II. Схемы и нефть,II. Circuits and Oil,II. Схемы и нефть
Продвинутые схемы,Advanced Circuits,Продвинутые схемы
Освой схемы второго поколения.,Master second-generation circuits.,Освой схемы второго поколения.
Скрафтить схему T2,Craft a T2 circuit,Скрафтить схему T2
Рецепт ректификационной колонны,Distillation column recipe,Рецепт ректификационной колонны
Фракционирование нефти,Oil Fractionation,Фракционирование нефти
Собери колонну и запусти базовую переработку сырой нефти.,Build the column and start basic crude oil refining.,Собери колонну и запусти базовую переработку сырой нефти.
Скрафтить ректификационную колонну,Craft a distillation column,Скрафтить ректификационную колонну
Открыть ректификационную колонну,Open the distillation column,Открыть ректификационную колонну
Газ,Gas,Газ
Бензин,Gasoline,Бензин
Керосин,Kerosene,Керосин
Дизель,Diesel,Дизель
Мазут,Heavy fuel oil,Мазут
Битум,Bitumen,Битум
III. Цифровое хранилище,III. Digital Storage,III. Цифровое хранилище
Цифровая сеть,Digital Network,Цифровая сеть
"Собери ME-сеть: контроллер (запитай его), накопитель с ячейкой и терминал.","Build an ME network: a controller (power it), a drive with a cell, and a terminal.","Собери ME-сеть: контроллер (запитай его), накопитель с ячейкой и терминал."
Скрафтить ME Controller,Craft an ME Controller,Скрафтить ME Controller
Скрафтить ME Drive,Craft an ME Drive,Скрафтить ME Drive
Скрафтить ME-ячейку 1k,Craft a 1k ME cell,Скрафтить ME-ячейку 1k
Скрафтить ME Terminal,Craft an ME Terminal,Скрафтить ME Terminal
Бесконечное цифровое хранилище предметов,Infinite digital item storage,Бесконечное цифровое хранилище предметов
Автоматизация ME,ME Automation,Автоматизация ME
Свяжи сеть с машинами: шины импорта/экспорта и интерфейс.,Link the network to machines: import/export buses and an interface.,Свяжи сеть с машинами: шины импорта/экспорта и интерфейс.
Скрафтить ME Import Bus,Craft an ME Import Bus,Скрафтить ME Import Bus
Скрафтить ME Export Bus,Craft an ME Export Bus,Скрафтить ME Export Bus
Скрафтить ME Interface,Craft an ME Interface,Скрафтить ME Interface
Автоввод/вывод предметов в сеть,Auto item input/output to the network,Автоввод/вывод предметов в сеть
IV. Защита от среды,IV. Environmental Protection,IV. Защита от среды
Противогаз,Gas Mask,Противогаз
Гниющие Топи и Первобытные Дебри отравляют воздух. Собери противогаз для безопасной добычи в этих секторах.,The Rotting Marsh and Primeval Thicket poison the air. Craft a gas mask to mine safely in those sectors.,Гниющие Топи и Первобытные Дебри отравляют воздух. Собери противогаз для безопасной добычи в этих секторах.
Скрафтить противогаз,Craft a gas mask,Скрафтить противогаз
Безопасный вход в Гниющие Топи и Первобытные Дебри,Safe entry into the Rotting Marsh and Primeval Thicket,Безопасный вход в Гниющие Топи и Первобытные Дебри
Жаростойкий костюм,Heat Suit,Жаростойкий костюм
Солнечный Каньон пышет жаром. Собери жаростойкий костюм для добычи в раскалённых секторах.,The Sun Canyon blazes with heat. Craft a heat suit to mine in scorching sectors.,Солнечный Каньон пышет жаром. Собери жаростойкий костюм для добычи в раскалённых секторах.
Скрафтить жаростойкий костюм,Craft a heat suit,Скрафтить жаростойкий костюм
Безопасный вход в Солнечный Каньон,Safe entry into the Sun Canyon,Безопасный вход в Солнечный Каньон
Утеплённый костюм,Insulated Suit,Утеплённый костюм
"Ледяная Бездна вымораживает. Собери утеплённый костюм, чтобы работать в морозных секторах.",The Frozen Abyss freezes everything. Craft an insulated suit to work in frigid sectors.,"Ледяная Бездна вымораживает. Собери утеплённый костюм, чтобы работать в морозных секторах."
Скрафтить утеплённый костюм,Craft an insulated suit,Скрафтить утеплённый костюм
Безопасный вход в Ледяную Бездну,Safe entry into the Frozen Abyss,Безопасный вход в Ледяную Бездну
Открывает Главу 6,Unlocks Chapter 6,Открывает Главу 6
I. Вершина технологий,I. Peak of Technology,I. Вершина технологий
Промышленник,Industrialist,Промышленник
Достигни вершины технологий.,Reach the peak of technology.,Достигни вершины технологий.
Скрафтить промышленный корпус,Craft an industrial casing,Скрафтить промышленный корпус
Скрафтить схему T3,Craft a T3 circuit,Скрафтить схему T3
Промышленные резервуары,Industrial tanks,Промышленные резервуары
Тысяча литров,A Thousand Liters,Тысяча литров
Доведи резервуар до максимального практичного объёма.,Push a tank to its maximum practical capacity.,Доведи резервуар до максимального практичного объёма.
Скрафтить резервуар T5,Craft a T5 tank,Скрафтить резервуар T5
Резервуар на 1000 л,1000 L tank,Резервуар на 1000 л
Механик Сэм,Mechanic Sam,Механик Сэм
Механик,Mechanic,Механик
"О, свежие руки! Тут, в центральном лесу, всё начинается с металла и первой автоматизации. Поможешь — научу паре трюков.","Oh, fresh hands! Here in the central forest, everything starts with metal and early automation. Lend a hand — I'll teach you a few tricks.","О, свежие руки! Тут, в центральном лесу, всё начинается с металла и первой автоматизации. Поможешь — научу паре трюков."
Лесник Тэд,Forester Ted,Лесник Тэд
Лесник,Forester,Лесник
"Лес кормит и греет. Дерево, смола, волокно — всё в дело. Займёшься деревообработкой?","The forest feeds and warms. Wood, resin, fiber — all of it useful. Fancy some woodworking?","Лес кормит и греет. Дерево, смола, волокно — всё в дело. Займёшься деревообработкой?"
Химик Борис,Chemist Boris,Химик Борис
Химик,Chemist,Химик
"Болото воняет? Это запах прогресса, друг. Здесь рождается химпром: трубы, помпы, газ.","The swamp stinks? That's the smell of progress, friend. This is where chemical industry is born: pipes, pumps, gas.","Болото воняет? Это запах прогресса, друг. Здесь рождается химпром: трубы, помпы, газ."
Натуралист Лили,Naturalist Lily,Натуралист Лили
Натуралист,Naturalist,Натуралист
"Джунгли — фабрика природы. Собери каучук, а я покажу, как делать резину и быстрые ленты.","The jungle is nature's factory. Gather rubber sap, and I'll show you how to make rubber and fast belts.","Джунгли — фабрика природы. Собери каучук, а я покажу, как делать резину и быстрые ленты."
Инженер Мороз,Engineer Frost,Инженер Мороз
Инженер,Engineer,Инженер
Холодно? Заводы встают на морозе. Строим бойлеры и теплотрассы — иначе тут не выжить.,Cold? Factories seize up in the frost. We build boilers and heat lines — or we don't survive here.,Холодно? Заводы встают на морозе. Строим бойлеры и теплотрассы — иначе тут не выжить.
Шейх Кремний,Sheikh Silicon,Шейх Кремний
Магнат,Magnate,Магнат
Песок — это кремний. Кремний — это микросхемы. Микросхемы — это власть. Работаем?,Sand is silicon. Silicon is microchips. Microchips are power. Shall we work?,Песок — это кремний. Кремний — это микросхемы. Микросхемы — это власть. Работаем?
Доктор Кислота,Doctor Acid,Доктор Кислота
Токсиколог,Toxicologist,Токсиколог
Кислотные дожди разъедают всё живое и неживое. Нужны стойкие материалы и герметичные цеха.,"Acid rain eats away everything, living and not. We need resistant materials and sealed workshops.",Кислотные дожди разъедают всё живое и неживое. Нужны стойкие материалы и герметичные цеха.
Археолог Стерлинг,Archaeologist Sterling,Археолог Стерлинг
Археолог,Archaeologist,Археолог
Древние знали толк в технологиях. В этих руинах — квантовые схемы и энергия без потерь.,The ancients knew their technology. In these ruins lie quantum circuits and lossless energy.,Древние знали толк в технологиях. В этих руинах — квантовые схемы и энергия без потерь.
