keys,en,ru
Stability,Stability,Стабильность
Confidence,Confidence,Доверие
Stable,Stable,Стабильно
Variable,Variable,Переменно
Unstable,Unstable,Нестабильно
Not enough data,Not enough data,Недостаточно данных
High,High,Высокое
Medium,Medium,Среднее
Low,Low,Низкое
%s is consistently %.0f%% slower across %d runs (%s confidence),%s is consistently %.0f%% slower across %d runs (%s confidence),%s стабильно медленнее цели на %.0f%% по %d запускам (доверие: %s)
%s is consistently %.0f%% faster across %d runs (%s confidence),%s is consistently %.0f%% faster across %d runs (%s confidence),%s стабильно быстрее цели на %.0f%% по %d запускам (доверие: %s)
%s varies by %.0f%% across %d runs,%s varies by %.0f%% across %d runs,%s отличается на %.0f%% между %d запусками
Median stage times are balanced and stable,Median stage times are balanced and stable,Медианное время этапов сбалансировано и стабильно
Compare versions,Compare versions,Сравнить версии
Previous / latest version median,Previous / latest version median,Медиана прошлой / новой версии
Version regression report,Version regression report,Отчёт о регрессиях версии
Version comparison,Version comparison,Сравнение версий
At least two version tags are required,At least two version tags are required,Нужны плейтесты минимум двух версий
Previous median,Previous median,Прошлая медиана
Latest median,Latest median,Новая медиана
%s became %.0f%% slower in the latest version (%s confidence),%s became %.0f%% slower in the latest version (%s confidence),%s стал медленнее на %.0f%% в новой версии (доверие: %s)
%s became %.0f%% faster in the latest version (%s confidence),%s became %.0f%% faster in the latest version (%s confidence),%s стал быстрее на %.0f%% в новой версии (доверие: %s)
No stage changed by more than 15% between versions,No stage changed by more than 15% between versions,Ни один этап не изменился между версиями более чем на 15%
Record playtests with at least two version tags,Record playtests with at least two version tags,Запишите плейтесты минимум с двумя тегами версий
Analyze,Analyze,Анализировать
Research completed,Research completed,Исследование завершено
Requirements not met,Requirements not met,Требования не выполнены
"Explore biomes, defeat bosses, and analyze their samples to unlock technologies.","Explore biomes, defeat bosses, and analyze their samples to unlock technologies.","Исследуйте биомы, побеждайте боссов и анализируйте образцы для открытия технологий."
Frontier set,Frontier set,Комплект первопроходца
Ascendant set,Ascendant set,Комплект вознесения
arena,arena,арена
Fortified arena,Fortified arena,Укреплённая арена
Volatile arena,Volatile arena,Нестабильная арена
Relentless arena,Relentless arena,Неумолимая арена
Abundant arena,Abundant arena,Изобильная арена
"Build production lines, defeat bosses, and consume research packs to unlock each era.","Build production lines, defeat bosses, and consume research packs to unlock each era.",Стройте производственные линии побеждайте боссов и расходуйте исследовательские наборы для открытия каждой эры.
"Build a bronze workshop, generate steam, press plates, and produce coke.","Build a bronze workshop, generate steam, press plates, and produce coke.",Постройте бронзовую мастерскую вырабатывайте пар прессуйте пластины и производите кокс.
"Build a bronze workshop, generate steam, press precision parts, and produce coke.","Build a bronze workshop, generate steam, press precision parts, and produce coke.",Постройте бронзовую мастерскую вырабатывайте пар прессуйте точные детали и производите кокс.
"Prove the steam line works before introducing generators, rubber, and low-voltage circuits.","Prove the steam line works before introducing generators, rubber, and low-voltage circuits.",Подтвердите работу паровой линии прежде чем переходить к генераторам резине и низковольтным схемам.
"Mass-produce electrical parts to unlock routing, compression, and fluid mixing.","Mass-produce electrical parts to unlock routing, compression, and fluid mixing.",Наладьте массовый выпуск электрических деталей для открытия маршрутизации прессования и смешивания жидкостей.
"Automate components and dense materials before building multi-step ore processing.","Automate components and dense materials before building multi-step ore processing.",Автоматизируйте компоненты и плотные материалы перед созданием многоступенчатой переработки руды.
"Use crushing, washing, separation, or centrifuging to turn ore directly into dust before chemistry.","Use crushing, washing, separation, or centrifuging to turn ore directly into dust before chemistry.",Используйте дробление промывку сепарацию или центрифугирование чтобы напрямую превращать руду в пыль перед химической эрой.
"Convert oil and coke products into advanced materials for renewable production.","Convert oil and coke products into advanced materials for renewable production.",Перерабатывайте нефтепродукты и кокс в продвинутые материалы для возобновляемого производства.
"Combine agricultural output, productivity modules, and electronics into sustainable industry.","Combine agricultural output, productivity modules, and electronics into sustainable industry.",Объедините сельскохозяйственную продукцию модули продуктивности и электронику в устойчивую промышленность.
"Scale solar generation and energy storage before attempting molecular processing.","Scale solar generation and energy storage before attempting molecular processing.",Масштабируйте солнечную генерацию и накопление энергии перед молекулярной переработкой.
"Feed dense matter and high-tier electronics into a stable late-game production line.","Feed dense matter and high-tier electronics into a stable late-game production line.",Подавайте плотную материю и электронику высокого уровня в стабильную производственную линию поздней игры.
"Complete the Overworld factory chain to unlock quantum storage and logistics.","Complete the Overworld factory chain to unlock quantum storage and logistics.",Завершите фабричную цепочку основного мира чтобы открыть квантовые хранилища и логистику.
